label_frame,xmin,ymin,xmax,ymax,label_name
0,5,686,517,1000,vehicle
1,0,690,129,852,vehicle
1,401,563,582,726,unknown
1,29,676,542,1001,vehicle
2,0,684,199,853,vehicle
2,74,677,627,990,vehicle
3,10,682,251,863,vehicle
3,130,672,691,981,vehicle
4,69,678,314,861,vehicle
4,210,665,735,994,vehicle
5,125,678,366,868,vehicle
5,270,670,802,1006,vehicle
6,180,678,416,867,vehicle
6,2,671,50,736,vehicle
6,297,665,868,1008,vehicle
6,684,552,868,695,unknown
7,296,667,530,861,vehicle
7,81,662,171,725,vehicle
7,3,640,97,685,vehicle
7,418,655,993,1009,vehicle
8,350,665,578,858,vehicle
8,134,655,230,721,vehicle
8,30,634,156,678,vehicle
8,850,537,1044,694,unknown
8,467,652,1058,1006,vehicle
9,402,660,629,856,vehicle
9,197,651,288,719,vehicle
9,90,634,214,673,vehicle
9,523,649,1121,1013,vehicle
9,911,548,1095,682,unknown
10,457,660,682,856,vehicle
10,253,649,344,717,vehicle
10,145,633,272,670,vehicle
10,968,552,1144,688,unknown
10,586,644,1195,1008,vehicle
11,511,656,745,855,vehicle
11,309,644,401,711,vehicle
11,203,626,334,670,vehicle
11,491,635,520,719,pedestrian
11,644,645,1265,1007,vehicle
11,1022,561,1201,673,unknown
12,409,644,508,709,vehicle
12,613,650,846,855,vehicle
12,313,621,437,663,vehicle
12,737,642,1413,1028,vehicle
13,663,653,905,858,vehicle
13,458,645,558,710,vehicle
13,362,621,497,666,vehicle
13,786,638,1488,1049,vehicle
14,712,655,961,861,vehicle
14,510,648,606,712,vehicle
14,1,716,103,921,vehicle
14,413,620,543,670,vehicle
14,825,643,1548,1082,vehicle
14,810,644,1570,1067,vehicle
15,756,656,1013,874,vehicle
15,0,719,145,927,vehicle
15,554,649,653,716,vehicle
15,464,625,591,670,vehicle
15,895,642,1650,1137,vehicle
15,611,575,639,608,sign
15,733,643,768,715,pedestrian
16,801,663,1059,884,vehicle
16,598,650,692,718,vehicle
16,3,724,179,929,vehicle
16,947,662,1713,1136,vehicle
16,503,630,633,672,vehicle
16,653,578,680,610,sign
17,836,664,1102,890,vehicle
17,636,655,731,721,vehicle
17,2,728,214,936,vehicle
17,967,667,1784,1168,vehicle
17,540,631,670,674,vehicle
17,690,580,716,613,sign
17,810,642,850,732,pedestrian
18,870,666,1145,892,vehicle
18,666,656,763,723,vehicle
18,3,729,250,943,vehicle
18,1015,667,1855,1167,vehicle
18,724,583,748,614,sign
18,571,633,701,676,vehicle
19,4,738,270,952,vehicle
19,899,670,1186,900,vehicle
19,1048,667,1908,1209,vehicle
19,693,659,795,727,vehicle
19,600,636,733,679,vehicle
19,754,585,780,617,sign
20,1,745,287,961,vehicle
20,937,672,1217,914,vehicle
20,722,662,823,729,vehicle
20,782,585,809,619,sign
20,1094,674,1909,1233,vehicle
20,631,637,763,682,vehicle
21,7,754,307,978,vehicle
21,749,667,849,733,vehicle
21,959,676,1265,921,vehicle
21,652,640,790,685,vehicle
21,1128,681,1917,1245,vehicle
21,809,588,835,621,sign
22,988,684,1293,928,vehicle
22,770,667,876,736,vehicle
22,3,752,320,988,vehicle
22,680,644,817,689,vehicle
22,834,593,860,621,sign
22,1153,686,1910,1266,vehicle
23,796,670,899,738,vehicle
23,708,645,843,690,vehicle
23,7,758,341,993,vehicle
23,1018,680,1334,935,vehicle
23,859,592,886,623,sign
23,988,661,1023,755,pedestrian
23,1180,663,1920,1268,vehicle
24,824,669,928,738,vehicle
24,734,646,870,689,vehicle
24,7,761,356,1005,vehicle
